name,type,country,city,details,coordinates,latitude,longitude,searches_within_500m,conversions_within_500m,conversion_rate,stashpoints_within_500m
Avenida del Mar,Landmark,Spain,Marbella,"A beautiful avenue lined with sculptures by Salvador Dalí, Eduardo Soriano, and other renowned artists.","36.5078116, -4.8865439",36.5078116,-4.8865439,3,0,0,0
Namba Station,Train Station,Japan,Osaka,"A major train station in Osaka, serving both high-speed and regional trains. It is located in the vibrant Namba district, known for its shopping and entertainment.","34.6629331, 135.5022953",34.6629331,135.5022953,3,0,0,0
Belmont Park,Tourist Attraction,United States,San Diego,"A beachfront amusement park with rides, games, and attractions for all ages.","32.7706735, -117.2516218",32.7706735,-117.2516218,3,0,0,0
Bonsai Museum,Museum,Spain,Marbella,"A unique museum dedicated to the art of bonsai, with a collection of over 300 miniature trees.","36.5102831, -4.8852579",36.5102831,-4.8852579,3,0,0,0
Allianz Stadium,Stadium,Australia,Sydney,,"-33.889067, 151.225364",-33.889067,151.225364,3,1,0.3333333333,0
Musée d'Art et d'Histoire,Museum,Switzerland,Geneva,"A large museum showcasing various art and historical collections, including works from the Renaissance and Middle Ages.","46.199284, 6.1515081",46.199284,6.1515081,3,0,0,0
UFO Observation Deck,Landmark,Slovakia,Bratislava,"An observation deck and restaurant located at the top of a unique bridge in Bratislava, offering panoramic views of the city.","48.1367327, 17.1045998",48.1367327,17.1045998,3,0,0,0
Deutsche Bank Park (Commerzbank-Arena),Stadium,Germany,Frankfurt,,"50.0685807, 8.645472",50.0685807,8.645472,3,0,0,0
Sage Gateshead,Theatre,United Kingdom,Gateshead,,"54.9677847, -1.602003",54.9677847,-1.602003,3,0,0,1
Yongsan Station,Train Station,South Korea,Seoul,,"37.5299439, 126.9647728",37.5299439,126.9647728,3,0,0,0
Edion Arena Osaka,Stadium,Japan,Osaka,"A multi-purpose arena in Osaka, hosting sports events, concerts, and other live performances. It is a popular venue for major concerts and sports tournaments.","34.6622871, 135.4992105",34.6622871,135.4992105,3,0,0,0
Estadi Olímpic Lluís Companys,Stadium,Spain,Barcelona,,"41.3647603, 2.1556418",41.3647603,2.1556418,3,0,0,0
Estadio Nacional,Stadium,Peru,Lima,,"-12.0673554, -77.03372449999999",-12.0673554,-77.0337245,3,1,0.3333333333,0
ANZ Stadium,Stadium,Australia,Sydney,"A multi-purpose stadium with a capacity of over 83,000, hosting major sporting events and concerts.","-33.8471156, 151.0634135",-33.8471156,151.0634135,3,0,0,0
Pinakothek der Moderne,Museum,Germany,Munich,"One of the largest modern art museums in the world, showcasing works from the 20th and 21st centuries.","48.1473921, 11.5722592",48.1473921,11.5722592,3,0,0,1
Marbella Old Town,Landmark,Spain,Marbella,"A charming and picturesque area of narrow streets, traditional architecture, and local shops and restaurants.","36.5082345, -4.8868624",36.5082345,-4.8868624,3,0,0,0
La Laguna Cathedral,Landmark,Spain,Tenerife,"A historic cathedral in La Laguna, Tenerife, known for its impressive Gothic architecture and religious significance.","28.488914, -16.3160518",28.488914,-16.3160518,3,0,0,3
Melbourne Museum,Museum,Australia,Melbourne,"The largest museum in the Southern Hemisphere, featuring natural history and cultural exhibits.","-37.803273, 144.9717408",-37.803273,144.9717408,3,0,0,0
Plaza de los Naranjos,City Center,Spain,Marbella,"The main square in Marbella's old town, surrounded by orange trees and historic buildings.","36.5100993, -4.8850214",36.5100993,-4.8850214,3,0,0,0
Kansai International Airport,Airport,Japan,Osaka,The main airport serving Osaka and the surrounding Kansai region. It is one of the busiest airports in Japan and a major hub for international travel.,"34.4319994, 135.2366019",34.4319994,135.2366019,3,0,0,0
McCord Museum,Museum,Canada,Montreal,"A museum dedicated to Canadian history and culture, featuring a collection of over 1.5 million artifacts and photographs.","45.5043088, -73.5734556",45.5043088,-73.5734556,3,0,0,2
Beverly Hills,Landmark,United States,Los Angeles,"A wealthy and iconic neighborhood, known for its luxurious mansions, high-end shopping, and celebrity homes.","34.0730715, -118.4016265",34.0730715,-118.4016265,3,0,0,0
Greek Theatre,Theatre,United States,Los Angeles,,"34.1195315, -118.2962896",34.1195315,-118.2962896,3,0,0,0
The Getty Center,Museum,United States,Los Angeles,"An art museum and research institute in the Santa Monica Mountains, known for its collection of European and American art.","34.0773438, -118.4732648",34.0773438,-118.4732648,3,0,0,0
Macroplaza,Landmark,Mexico,Monterrey,"The main square of Monterrey, featuring several iconic monuments and important government buildings.","25.6692292, -100.3099193",25.6692292,-100.3099193,3,0,0,0
Griffith Observatory,Museum,United States,Los Angeles,"A landmark building and public observatory, known for its educational programs and breathtaking views of the LA skyline and Hollywood Sign.","34.1184341, -118.3003935",34.1184341,-118.3003935,3,0,0,0
Puerto del Carmen,Tourist Attraction,Spain,Lanzarote,"A bustling resort town with beaches, restaurants, and nightlife.","28.92265829999999, -13.6680226",28.9226583,-13.6680226,3,0,0,0
Rome Ciampino Airport,,Italy,Rome,,"41.7992296, 12.5931741",41.7992296,12.5931741,3,0,0,0
Long Beach Airport,Airport,United States,Los Angeles,,"33.8161064, -118.1512558",33.8161064,-118.1512558,3,0,0,0
Walt Disney World,Tourist Attraction,United States,Orlando,"The world-renowned theme park and resort, known for its iconic characters and rides.","28.3771857, -81.57074",28.3771857,-81.57074,2,0,0,0
Osaka-Jo Hall,Stadium,Japan,Osaka,"A multi-purpose arena in Osaka, hosting sports events, concerts, and other live performances. It is a popular venue for major concerts and sports tournaments.","34.68963859999999, 135.5301017",34.6896386,135.5301017,2,0,0,0
Colmar Railway Station,Train Station,France,Colmar,A major railway station connecting Colmar to other cities in France and Europe.,"48.08031829999999, 7.354605200000001",48.0803183,7.3546052,2,0,0,1
Koninklijk Theater Carré,Theatre,Netherlands,Amsterdam,"A famous theatre in Amsterdam, known for hosting various performances and events.","52.3623872, 4.9042637",52.3623872,4.9042637,2,0,0,0
San Sebastian de La Gomera Port,Port,Spain,La Gomera,"The main port on the island of La Gomera, serving ferries to and from other Canary Islands.","28.089662, -17.108459",28.089662,-17.108459,2,0,0,0
Palais des Sports de Marseille,Stadium,France,Marseille,"A multi-purpose arena in Marseille, hosting various sporting events and concerts.","43.2706253, 5.4009917",43.2706253,5.4009917,2,0,0,0
Bratislava Castle,Landmark,Slovakia,Bratislava,A historic castle and iconic landmark overlooking the city of Bratislava.,"48.1421086, 17.1002348",48.1421086,17.1002348,2,0,0,0
Woodlands Train Checkpoint,Train Station,Singapore,Singapore,,"1.4437224, 103.7695725",1.4437224,103.7695725,2,0,0,0
Museo de Bellas Artes de Granada,Museum,Spain,Granada,A fine arts museum with collections of Spanish and European paintings from the 15th to 20th century.,"37.1769402, -3.5899778",37.1769402,-3.5899778,2,0,0,0
Wien Meidling Station,,Austria,Vienna,,"48.1731811, 16.331364",48.1731811,16.331364,2,0,0,1
House of Heads,Landmark,France,Colmar,"A well-known building in Colmar, featuring a facade adorned with 106 sculpted heads.","48.08031829999999, 7.354605200000001",48.0803183,7.3546052,2,0,0,1
Colmar Theater,Theatre,France,Colmar,"A historic theatre in Colmar dating back to the 19th century, featuring a mix of traditional and modern performances.","48.080065, 7.354667000000001",48.080065,7.354667,2,0,0,1
Pisa San Rossore,Train Station,Italy,Pisa,,"43.72394380000001, 10.3879392",43.7239438,10.3879392,2,0,0,0
Allianz Stadion,,Austria,Vienna,,"48.198023, 16.266021",48.198023,16.266021,2,0,0,1
Leeds Bradford Airport (nearest major airport),Airport,United Kingdom,York,,"53.8667051, -1.6586277",53.8667051,-1.6586277,2,0,0,0
Torre del Conde,Landmark,Spain,La Gomera,"A 15th-century tower located in the center of San Sebastian de La Gomera, built to defend against pirate attacks.","28.0906457, -17.1116917",28.0906457,-17.1116917,2,0,0,0
Auditorio Infanta Cristina,Theatre,Spain,La Gomera,"A modern theatre and cultural center hosting concerts, plays, and other performances.","28.0940206, -17.1133247",28.0940206,-17.1133247,2,0,0,0
Town Hall Square,City Center,Estonia,Talinn,"The main square in Tallinn's Old Town, with a beautiful Gothic town hall building and plenty of outdoor cafes and street performers.","59.4373291, 24.7453409",59.4373291,24.7453409,2,0,0,0
Phuket Old Town,City Center,Thailand,Phuket,"A historic district in Phuket known for its charming architecture, local markets, and cultural attractions.","7.8858652, 98.38761970000002",7.8858652,98.3876197,2,0,0,0
Blue Church,Landmark,Slovakia,Bratislava,"A famous Art Nouveau church in Bratislava, known for its blue exterior and intricate decorations.","48.1434028, 17.1169342",48.1434028,17.1169342,2,0,0,1
Plaza de las Tendillas,City Center,Spain,Cordoba,"The main square and commercial center of Córdoba, popular with locals and tourists.","37.8842445, -4.7794998",37.8842445,-4.7794998,2,0,0,6
The SSE Hydro,Theatre,Scotland,Glasgow,A multi-purpose indoor arena and one of the busiest entertainment venues in the world.,"55.8596207, -4.285587",55.8596207,-4.285587,2,1,0.5,1
Quartier de la Porte-Dauphine,Neighbourhood,France,Paris,,"48.871703, 2.2757204",48.871703,2.2757204,2,1,0.5,0
Dubai International Airport,Airport,United Arab Emirates,Dubai,"The largest and busiest airport in the UAE, serving as the main international gateway to Dubai and the rest of the country.","25.2515401, 55.3683066",25.2515401,55.3683066,2,0,0,0
Budapest Liszt Ferenc International Airport,Airport,Hungary,Budapest,"The largest and busiest airport in Hungary, serving national and international flights.","47.438516, 19.2540304",47.438516,19.2540304,2,0,0,0
Fuerteventura Airport,Airport,Spain,Fuerteventura,The main airport serving the island of Fuerteventura.,"28.4482157, -13.866349",28.4482157,-13.866349,2,0,0,0
Esplanade - Theatres on the Bay,Theatre,Singapore,Singapore,,"1.2897934, 103.8558166",1.2897934,103.8558166,2,0,0,0
Osaka Castle,Landmark,Japan,Osaka,"A historic castle in Osaka, dating back to the 16th century. It is a popular tourist attraction and a symbol of the city's history and culture.","34.6872571, 135.5258546",34.6872571,135.5258546,2,0,0,0
Tallinn City Museum,Museum,Estonia,Talinn,"A museum showcasing the history and culture of Tallinn, housed in a medieval merchant's house.","59.43868859999999, 24.7482012",59.4386886,24.7482012,2,0,0,0
Colmar Bus Station,Bus Station,France,Colmar,"The main bus station in Colmar, serving both local and national routes.","48.08031829999999, 7.354605200000001",48.0803183,7.3546052,2,0,0,1
Dominican Church,Landmark,France,Colmar,"A stunning Gothic church in Colmar, known for its intricate architecture and impressive stained glass windows.","48.0783265, 7.3564393",48.0783265,7.3564393,2,0,0,1
Canberra Airport,Airport,Australia,Canberra,,"-35.3053031, 149.1933066",-35.3053031,149.1933066,2,0,0,0
Hrvatsko narodno kazalište Split,Theatre,Croatia,Split,"The Croatian National Theatre in Split, showcasing a variety of cultural performances.","43.5109958, 16.4374747",43.5109958,16.4374747,2,1,0.5,2
Holešovice Station,,Czech Republic,Prague,,"50.1094884, 14.4397742",50.1094884,14.4397742,2,0,0,0
Tanjong Pagar Railway Station,Train Station,Singapore,Singapore,,"1.2780299, 103.8404472",1.2780299,103.8404472,2,2,1,3
Fort St. Elmo,Landmark,Malta,Valetta,"A star-shaped fort overlooking the Grand Harbor, built by the Knights of St. John in the 16th century.","35.9023499, 14.5185992",35.9023499,14.5185992,2,0,0,2
Muelle Historico,Landmark,Chile,Puerto Natales,"A historic pier in Puerto Natales, once used for shipping goods and now a popular spot for tourists.","-51.723087, -72.5108248",-51.723087,-72.5108248,2,0,0,0
Theater Colmar,Theatre,France,Colmar,A popular theatre in Colmar known for its diverse performances and cultural events.,"48.080065, 7.354667000000001",48.080065,7.354667,2,0,0,1
Estonian National Opera,Theatre,Estonia,Talinn,"The main opera and ballet venue in Tallinn, showcasing both classic and modern productions.","59.4343101, 24.75052",59.4343101,24.75052,2,0,0,0
Tallinn Old Town,City Center,Estonia,Talinn,"The historic center of Tallinn, with well-preserved medieval buildings, charming cobblestone streets, and plenty of cafes, restaurants, and shops.","59.43637389999999, 24.7445844",59.4363739,24.7445844,2,0,0,0
Carmen de los Mártires,Landmark,Spain,Granada,A historic villa with beautiful gardens and stunning views of the city.,"37.1719346, -3.5869881",37.1719346,-3.5869881,2,0,0,0
Zapopan Transit Hub,,Mexico,Zapopan,,"20.6719563, -103.416501",20.6719563,-103.416501,2,0,0,0
Saint-Martin Church,Landmark,France,Colmar,"A beautiful church in Colmar, known for its ornate interior and impressive organ.","48.0772945, 7.3581094",48.0772945,7.3581094,2,0,0,1
Nationals Park,Stadium,United States,Washington D.C.,,"38.8730102, -77.0074329",38.8730102,-77.0074329,2,0,0,0
Montreal Biodome,Landmark,Canada,Montreal,"A popular attraction in Montreal featuring a replica of four ecosystems found in the Americas, including a rainforest, polar area, and more.","45.5596545, -73.5497189",45.5596545,-73.5497189,2,1,0.5,0
Stade de France,Stadium,France,Paris,"One of the largest stadiums in Europe, hosting major sporting events and concerts.","48.89493179999999, 2.3250599",48.8949318,2.3250599,2,0,0,1
Osaka Station,Train Station,Japan,Osaka,"A major train station in Osaka, serving both high-speed and regional trains. It is one of the busiest train stations in Japan.","34.7024854, 135.4959506",34.7024854,135.4959506,2,0,0,0
Pfister House,Landmark,France,Colmar,"A notable example of Renaissance architecture in Colmar, featuring a beautifully decorated facade.","48.0768478, 7.3582221",48.0768478,7.3582221,2,0,0,1
VTA Metro / SAP Center Area,,United States,San Jose,,"37.3327655, -121.9011143",37.3327655,-121.9011143,2,0,0,0
Parque de María Luisa,Tourist Attraction,Spain,Sevilla,"A beautiful park with gardens, fountains, and monuments, located next to Plaza de España.","37.3741832, -5.9872231",37.3741832,-5.9872231,2,1,0.5,0
The People's Palace,Museum,Scotland,Glasgow,A social history museum that depicts the story of Glasgow and its people.,"55.8513285, -4.237080199999999",55.8513285,-4.2370802,2,0,0,1
Castlefield,City Center,United Kingdom,Manchester,"A historic conservation area in Manchester, featuring canals, old mills, and warehouses, as well as trendy bars and restaurants.","53.47543539999999, -2.2613514",53.4754354,-2.2613514,2,0,0,0
Croatian National Theatre in Split,Theatre,Croatia,Split,,"43.5109963, 16.4372259",43.5109963,16.4372259,2,1,0.5,2
Parque María Luisa,,Spain,Sevilla,,"37.3741832, -5.9872231",37.3741832,-5.9872231,2,1,0.5,0
Mount Royal,Landmark,Canada,Montreal,A large hill in Montreal offering stunning views of the city and a popular spot for outdoor activities.,"45.5071024, -73.5874072",45.5071024,-73.5874072,2,0,0,0
Phuket Walking Street,Landmark,Thailand,Phuket,"A popular street in Phuket known for its vibrant nightlife, street food, and local vendors selling souvenirs and goods.","7.8858769, 98.39054589999999",7.8858769,98.3905459,2,0,0,0
Loro Parque,Tourist Attraction,Spain,Tenerife,"A popular zoo and theme park in Puerto de la Cruz, Tenerife, known for its wide variety of animals and shows.","28.4084635, -16.5646617",28.4084635,-16.5646617,2,0,0,0
San Sebastian de La Gomera City Center,City Center,Spain,La Gomera,"The historic city center of San Sebastian de La Gomera, featuring old colonial buildings, shops, and restaurants.","28.0937998, -17.1098582",28.0937998,-17.1098582,2,0,0,0
Maison des Têtes,Landmark,France,Colmar,"Another notable building in Colmar, featuring a facade adorned with sculpted heads and grotesque masks.","48.0784935, 7.355634599999999",48.0784935,7.3556346,2,0,0,2
Budapest Ferenc Liszt International Airport,Airport,Hungary,Budapest,,"47.438516, 19.2540304",47.438516,19.2540304,2,0,0,0
Paramount Theatre,Theatre,United States,Seattle,A historic theatre that hosts a variety of concerts and Broadway shows.,"47.6135244, -122.3315134",47.6135244,-122.3315134,2,1,0.5,1
Terminal de Buses Puerto Natales,Bus Station,Chile,Puerto Natales,"The main bus station in Puerto Natales, connecting the city to other destinations in Chile and Argentina.","-51.7285535, -72.48813659999999",-51.7285535,-72.4881366,2,0,0,0
Granada Cathedral,Landmark,Spain,Granada,"A magnificent cathedral built in the 16th century, featuring a mix of Renaissance and Baroque architecture.","37.1765906, -3.5990649",37.1765906,-3.5990649,2,1,0.5,4
PGE Narodowy,Stadium,Poland,Warsaw,,"52.23925550000001, 21.0453352",52.2392555,21.0453352,2,0,0,0
Leeds Bradford Airport,Airport,United Kingdom,Leeds,,"53.8667051, -1.6586277",53.8667051,-1.6586277,2,0,0,0
Quai du Mont-Blanc,City Center,Switzerland,Geneva,"A popular promenade and public square in Geneva, offering stunning views of Lake Geneva and the Alps.","46.2092576, 6.1503154",46.2092576,6.1503154,2,0,0,0
Movistar Arena,Stadium,Colombia,Bogotá,,"4.6493345, -74.0772439",4.6493345,-74.0772439,2,0,0,0
Unterlinden Museum,Museum,France,Colmar,"One of the most popular museums in Colmar, housing a diverse collection of art and artifacts from the region's history.","48.0799507, 7.3555721",48.0799507,7.3555721,2,0,0,1
Caltrain San Jose Diridon,,United States,San Jose,,"37.33065730000001, -121.9023753",37.3306573,-121.9023753,2,0,0,0
Cours Julien,Neighborhood,France,Marseille,"A lively and bohemian neighborhood in Marseille, filled with street art, cafés, and bars.","43.2943351, 5.3830643",43.2943351,5.3830643,2,0,0,10
San Sebastian de La Gomera Bus Station,Bus Station,Spain,La Gomera,"The main bus station on the island of La Gomera, serving local and regional bus routes.","28.0937998, -17.1098582",28.0937998,-17.1098582,2,0,0,0
Mediolanum Forum,Stadium,Italy,Milan,,"45.4014122, 9.142294699999999",45.4014122,9.1422947,2,0,0,0
Estadio La Rosaleda,Stadium,Spain,Malaga,"The home stadium of Málaga CF, one of the top football clubs in Spain.","36.7335802, -4.426652",36.7335802,-4.426652,2,0,0,0
Firenze Campo di Marte,Train Station,Italy,Florence,,"43.777657, 11.2761122",43.777657,11.2761122,2,0,0,0
Museo Arqueologico de La Gomera,Museum,Spain,La Gomera,"A museum showcasing the history and culture of La Gomera, including artifacts from the indigenous Guanches people.","28.092558, -17.110759",28.092558,-17.110759,2,0,0,0
Casa de Colon,Museum,Spain,La Gomera,A 15th-century house and museum dedicated to the history of Christopher Columbus and his voyages.,"28.0934906, -17.1119205",28.0934906,-17.1119205,2,0,0,0
Old Town San Diego State Historic Park,Tourist Attraction,United States,San Diego,A state park showcasing the history and culture of San Diego's early days as a Spanish settlement.,"32.7549063, -117.1976407",32.7549063,-117.1976407,2,0,0,0
Imperial Theatre,Theatre,Japan,Tokyo,,"35.6765761, 139.7609048",35.6765761,139.7609048,2,0,0,0
East Midlands Airport,Airport,United Kingdom,Nottingham,,"52.82937399999999, -1.332134",52.829374,-1.332134,2,0,0,0
International Drive,City Center,United States,Orlando,"A major tourist area in Orlando, featuring hotels, restaurants, and shopping, as well as popular attractions like the Orlando Eye.","28.4624091, -81.4603345",28.4624091,-81.4603345,2,0,0,1
Old Town Transit Center,Train Station,United States,San Diego,,"32.75523039999999, -117.1995263",32.7552304,-117.1995263,2,0,0,0
Schoenbrunn Zoo,City Center,Austria,Vienna,"One of the oldest and most famous zoos in the world, home to over 700 animal species and known for its conservation efforts.","48.1814032, 16.3045198",48.1814032,16.3045198,2,0,0,0
Gran Teatro de Córdoba,Theatre,Spain,Cordoba,"A historic theatre in Córdoba, hosting various cultural performances and events.","37.8853921, -4.7824494",37.8853921,-4.7824494,2,0,0,3
Place de la Cathédrale,Landmark,France,Colmar,"A square in Colmar dominated by the impressive Saint Martin's Cathedral, a prime example of Gothic architecture.","48.0775841, 7.3585265",48.0775841,7.3585265,2,0,0,1
Olympic Stadium,Stadium,Canada,Montreal,"A multi-purpose stadium in Montreal, built for the 1976 Summer Olympics and now a popular venue for sports and concerts.","45.5577438, -73.5515478",45.5577438,-73.5515478,2,1,0.5,0
Dallas Union Station,,United States,Dallas,,"32.7761224, -96.8075698",32.7761224,-96.8075698,2,0,0,0
Wicker Park,Neighborhood,United States,Chicago,"A trendy neighborhood in Chicago, known for its unique shops, restaurants, and nightlife.","41.9104892, -87.6775672",41.9104892,-87.6775672,2,0,0,0
Casa da Música,Theatre,Portugal,Porto,,"41.1588467, -8.630737",41.1588467,-8.630737,2,0,0,2
Mercado Victoria,Landmark,Spain,Cordoba,"A food market and gathering place in Córdoba, offering a variety of local and international cuisine.","37.8838259, -4.7852631",37.8838259,-4.7852631,2,0,0,1
Oskar Schindler's Enamel Factory,Museum,Poland,Krakow,"A museum dedicated to the history of Kraków during World War II, located in the former factory of Oskar Schindler.","50.0474296, 19.9615736",50.0474296,19.9615736,2,0,0,0
Iglesia de la Asuncion,Church,Spain,La Gomera,"A beautiful church located in the heart of San Sebastian de La Gomera, known for its intricate architecture and Baroque altarpiece.","28.0926866, -17.1110674",28.0926866,-17.1110674,2,0,0,0
Alexander Nevsky Cathedral,Landmark,Estonia,Talinn,"A Russian Orthodox cathedral built in the late 19th century, known for its distinctive onion-shaped domes and stunning interior decoration.","59.4358533, 24.739097",59.4358533,24.739097,2,0,0,0
Umeda Station,Train Station,Japan,Osaka,"A major train station in Osaka, serving both high-speed and regional trains. It is located in the bustling Umeda district and is a popular transportation hub for commuters and tourists.","34.7050271, 135.4984269",34.7050271,135.4984269,2,0,0,0
Edo-Tokyo Museum,Museum,Japan,Tokyo,A museum in Tokyo dedicated to the history and culture of Tokyo during the Edo period.,"35.6965972, 139.7957336",35.6965972,139.7957336,2,0,0,0
Ancient Theatre of Kos,Theatre,Greece,Kos,,"36.8915064, 27.2877228",36.8915064,27.2877228,2,0,0,0
Leeds Bradford Airport (nearest major airport),Airport,United Kingdom,Scarborough,,"53.8667051, -1.6586277",53.8667051,-1.6586277,2,0,0,0
Balti Jaam Train Station,Train Station,Estonia,Talinn,"The main train station in Tallinn, connecting the city to other major cities in Estonia and neighboring countries.","59.4394916, 24.7378055",59.4394916,24.7378055,2,0,0,1
The SSE Hydro,Theatre,United Kingdom,Glasgow,"One of the busiest entertainment venues in Europe, hosting concerts, sporting events, and more.","55.8596207, -4.285587",55.8596207,-4.285587,2,1,0.5,1
Terminal del Golfo,,Mexico,Monterrey,,"25.6850579, -100.3065297",25.6850579,-100.3065297,2,0,0,1
DART West End / Akard,,United States,Dallas,,"32.7801316, -96.80696689999999",32.7801316,-96.8069669,2,0,0,0
Bocagrande,Neighborhood,Colombia,Cartagena,"A popular tourist neighborhood in Cartagena, known for its high-end hotels, restaurants, and nightlife.","10.4101185, -75.5505696",10.4101185,-75.5505696,2,0,0,1
Sunset Boulevard,Landmark,United States,Los Angeles,"A major street that runs through Los Angeles and Hollywood, known for its iconic views and popular attractions.","34.0953613, -118.3723852",34.0953613,-118.3723852,2,0,0,1
Puerto Deportivo de Marbella,Landmark,Spain,Marbella,"A popular marina with a variety of restaurants, bars, and shops.","36.50603419999999, -4.8901825",36.5060342,-4.8901825,2,0,0,0
La Rosaleda Stadium,Stadium,Spain,Malaga,A multi-purpose stadium used primarily for football matches.,"36.7335802, -4.426652",36.7335802,-4.426652,2,0,0,0
Canterbury East Station,Train Station,United Kingdom,Canterbury,,"51.2742989, 1.0759899",51.2742989,1.0759899,2,0,0,0
Norwich Theatre Royal,Theatre,United Kingdom,Norwich,,"52.62733799999999, 1.290125",52.627338,1.290125,2,2,1,0
The Backs,Landmark,United Kingdom,Cambridge,"A picturesque area along the River Cam, lined with historic college buildings.","52.2042444, 0.1130218",52.2042444,0.1130218,2,0,0,3
Bartholdi Museum,Museum,France,Colmar,"A museum dedicated to the life and work of Colmar's most famous resident, the sculptor Frédéric Auguste Bartholdi.","48.0767573, 7.3576822",48.0767573,7.3576822,2,0,0,1
Norwich International Airport,Airport,United Kingdom,Norwich,,"52.6767172, 1.2815223",52.6767172,1.2815223,2,0,0,0
Slovak National Museum,Museum,Slovakia,Bratislava,"The oldest and largest museum in Slovakia, featuring collections of natural history, archaeology, and ethnography.","48.14020619999999, 17.1130678",48.1402062,17.1130678,2,0,0,0
Alhambra,Landmark,Spain,Granada,"A UNESCO World Heritage Site, one of the most iconic landmarks in Granada.","37.1760783, -3.5881413",37.1760783,-3.5881413,2,0,0,0
Old Town Colmar,City Center,France,Colmar,"The historic heart of Colmar, featuring well-preserved medieval and Renaissance buildings.","48.08031829999999, 7.354605200000001",48.0803183,7.3546052,2,0,0,1
Maison Pfister,Landmark,France,Colmar,"A well-preserved 16th century house in Colmar, featuring traditional Alsatian architecture.","48.0768478, 7.3582221",48.0768478,7.3582221,2,0,0,1
Calle Triana,City Center,Spain,Canary Islands,"A bustling pedestrian street in Las Palmas de Gran Canaria, lined with shops, restaurants, and historic buildings.","28.1059743, -15.4163305",28.1059743,-15.4163305,2,0,0,0
St Mary's Stadium,Stadium,United Kingdom,Southampton,,"50.9058106, -1.3901028",50.9058106,-1.3901028,2,0,0,0
Bootham Crescent,Stadium,United Kingdom,York,,"53.9671073, -1.0889047",53.9671073,-1.0889047,2,1,0.5,0
Riverside Museum,Museum,United Kingdom,Glasgow,"A transportation museum with over 3,000 objects on display, including vintage cars, trams, and locomotives.","55.865103, -4.3062062",55.865103,-4.3062062,2,0,0,0
National Stadium,Stadium,Poland,Warsaw,"A multi-purpose stadium in Warsaw, serving as the home of the Polish National Football Team.","52.23925550000001, 21.0453352",52.2392555,21.0453352,2,0,0,0
Carrera del Darro,Landmark,Spain,Granada,"A picturesque street in Granada, lined with historic buildings and offering views of the Alhambra.","37.1783098, -3.5928579",37.1783098,-3.5928579,2,0,0,1
Gare des Eaux-Vives,Train Station,Switzerland,Geneva,A major train station in Geneva serving regional and international trains.,"46.2014846, 6.1675096",46.2014846,6.1675096,1,0,0,0
La Bombonera,Stadium,Argentina,Buenos Aires,,"-34.6356109, -58.36475629999999",-34.6356109,-58.3647563,1,0,0,0
Glasgow Botanic Gardens,Landmark,United Kingdom,Glasgow,"A beautiful public garden with a glasshouse and various plant collections, including a large collection of orchids.","55.8797045, -4.2911777",55.8797045,-4.2911777,1,0,0,0
Amsterdam Amstel Station,Train Station,Netherlands,Amsterdam,"A regional train station in Amsterdam, located near the Amstel river.","52.34718059999999, 4.9185823",52.3471806,4.9185823,1,0,0,0
Fraumünster Church,Landmark,Switzerland,Zurich,A famous church known for its stunning stained glass windows by Marc Chagall and Augusto Giacometti.,"47.3697849, 8.5408331",47.3697849,8.5408331,1,0,0,1
Hollywood Walk of Fame,Landmark,United States,Los Angeles,"A popular tourist attraction in Hollywood, featuring stars and plaques honoring notable figures in the entertainment industry.","34.0985259, -118.3255647",34.0985259,-118.3255647,1,0,0,2
Parque de Miraflores,Landmark,Spain,Cordoba,"A peaceful park in Córdoba, offering beautiful views of the city and its surroundings.","37.87769309999999, -4.7720711",37.8776931,-4.7720711,1,0,0,1
Ellie Caulkins Opera House,Theatre,United States,Denver,,"39.744831, -104.9971237",39.744831,-104.9971237,1,0,0,0
Shibuya Station,Train Station,Japan,Tokyo,"A major train station in Tokyo, known for its iconic Shibuya Scramble Crossing.","35.6580339, 139.7016358",35.6580339,139.7016358,1,0,0,0
Casa de Campo,Neighbourhood,Spain,Madrid,,"40.4239535, -3.727536299999999",40.4239535,-3.7275363,1,1,1,2
Quartier de Plaisance,Neighbourhood,France,Paris,,"48.8305801, 2.3192651",48.8305801,2.3192651,1,0,0,1
Foxboro Commuter Rail (event),,United States,Foxborough,,"42.0947813, -71.26280129999999",42.0947813,-71.2628013,1,0,0,0
Inverness Airport,Airport,United Kingdom,Fort William,,"57.54327569999999, -4.0487033",57.5432757,-4.0487033,1,0,0,0
Playa del Ingles Bus Station,Bus Station,Spain,Gran Canaria,"The largest and busiest bus station on the island, connecting to other parts of Gran Canaria and neighboring islands.","27.7607003, -15.5694703",27.7607003,-15.5694703,1,0,0,0
Trogir,Landmark,Croatia,Split,"A historic town near Split, known for its well-preserved medieval architecture.","43.51638699999999, 16.2501894",43.516387,16.2501894,1,0,0,1
Los Angeles Memorial Coliseum,Stadium,United States,Los Angeles,,"34.0136647, -118.2878355",34.0136647,-118.2878355,1,0,0,0
Teatro Jovellanos,Theatre,Spain,Gijon,"A historic theatre in Gijon, known for hosting a variety of performances including theatre, dance, music, and opera.","43.5392704, -5.661274199999999",43.5392704,-5.6612742,1,0,0,0
Palacio Municipal de Monterrey,Landmark,Mexico,Monterrey,"The city hall of Monterrey, with a striking neoclassical design and a central location in the city.","25.6866142, -100.3161126",25.6866142,-100.3161126,1,0,0,2
